"","Participant","trialNumber","Sort","Condition","ClipStart","ClipStop","RecordingStart","ETClipStart","ETClipStop"
"75","P02",34,"P02 GemsBasic","GemsBasic",3192.6927808,3234.8354923,2987,205.692780800004,247.835492300001
"76","P02",35,"P02 GemsBasic","GemsBasic",3244.0782632,3300.15165289999,2987,257.078263200005,313.151652899993
"77","P02",36,"P02 GemsBasic","GemsBasic",3314.01571029999,3353.82263719999,2987,327.015710299995,366.822637199992
"78","P02",37,"P02 GemsBasic","GemsBasic",3368.871701,3410.5968073,2987,381.871700999996,423.596807299997
"79","P02",38,"P02 GemsBasic","GemsBasic",3420.0229388,3450.3036098,2987,433.022938800001,463.303609800001
"80","P02",39,"P02 GemsBasic","GemsBasic",3500.62124159999,3542.8822921,2987,513.621241599991,555.882292099996
"81","P03",0,"P03 Baseline","Baseline",431.466937199992,467.186319999993,352,79.4669371999917,115.186319999993
"82","P03",1,"P03 Baseline","Baseline",489.191867799993,520.240024400002,352,137.191867799993,168.240024400002
"83","P03",2,"P03 Baseline","Baseline",530.650572899991,553.106633599993,352,178.650572899991,201.106633599993
"84","P03",3,"P03 Baseline","Baseline",562.482920099996,609.246753899992,352,210.482920099996,257.246753899992
"85","P03",4,"P03 Baseline","Baseline",625.596598499993,667.422426299992,352,273.596598499993,315.422426299992
"86","P03",5,"P03 Baseline","Baseline",677.833523499998,738.04390199999,352,325.833523499998,386.04390199999
"87","P03",6,"P03 Baseline","Baseline",759.216226199991,799.889799800003,352,407.216226199991,447.889799800003
"88","P03",7,"P03 Baseline","Baseline",809.249598299997,846.203481999997,352,457.249598299997,494.203481999997
"89","P03",8,"P03 Tablet","Tablet",1258.97128719999,1287.35020649999,1180,78.9712871999945,107.350206499992
"90","P03",9,"P03 Tablet","Tablet",1309.7894671,1349.5968672,1180,129.789467099996,169.596867200002
"91","P03",10,"P03 Tablet","Tablet",1365.52912549999,1405.63646929999,1180,185.52912549999,225.636469299992
"92","P03",11,"P03 Tablet","Tablet",1423.3877451,1460.45858769999,1180,243.387745100001,280.458587699992
"93","P03",12,"P03 Tablet","Tablet",1471.35289339999,1498.5136949,1180,291.352893399991,318.513694900001
"94","P03",13,"P03 Tablet","Tablet",1516.93244969999,1558.6580442,1180,336.932449699991,378.658044199998
"95","P03",14,"P03 Tablet","Tablet",1572.5054239,1597.5807048,1180,392.505423900002,417.580704799999
"96","P03",15,"P03 Tablet","Tablet",1612.57928929999,1673.27410299999,1180,432.579289299989,493.274102999989
"97","P03",16,"P03 GemsTablet","GemsTablet",1919.60674829999,1956.84453969999,1837,82.6067482999933,119.844539699989
"98","P03",17,"P03 GemsTablet","GemsTablet",1974.9961208,1986.35770779999,1837,137.996120800002,149.357707799994
"99","P03",18,"P03 GemsTablet","GemsTablet",2003.04124359999,2023.94578909999,1837,166.04124359999,186.945789099991
"100","P03",19,"P03 GemsTablet","GemsTablet",2044.76806439999,2080.8200216,1837,207.768064399992,243.820021599997
"101","P03",20,"P03 GemsTablet","GemsTablet",2100.8069076,2144.2007725,1837,263.806907599996,307.2007725
"102","P03",21,"P03 GemsTablet","GemsTablet",2165.68925699999,2194.95218739999,1837,328.689256999991,357.952187399991
"103","P03",22,"P03 GemsTablet","GemsTablet",2210.0687968,2266.14094909999,1837,373.068796799998,429.140949099994
"104","P03",23,"P03 GemsTablet","GemsTablet",2293.8856843,2313.89077879999,1837,456.885684299996,476.890778799992
"105","P03",24,"P03 GemsBasic","GemsBasic",2507.60218619999,2542.33902869999,2426,81.6021861999907,116.339028699993
"106","P03",25,"P03 GemsBasic","GemsBasic",2610.6563402,2641.3041488,2426,184.656340200003,215.304148800002
"107","P03",26,"P03 GemsBasic","GemsBasic",2662.55894209999,2694.8916798,2426,236.55894209999,268.891679799999
"108","P03",27,"P03 GemsBasic","GemsBasic",2717.46447179999,2752.31634229999,2426,291.464471799991,326.316342299993
"109","P03",28,"P03 GemsBasic","GemsBasic",2785.2663662,2814.2957899,2426,359.266366199998,388.295789900003
"110","P03",29,"P03 GemsBasic","GemsBasic",2827.3256235,2859.7752085,2426,401.325623500001,433.775208499996
"111","P03",30,"P03 GemsBasic","GemsBasic",2880.56293079999,2933.74998739999,2426,454.562930799992,507.749987399991
"112","P03",31,"P03 GemsBasic","GemsBasic",2959.60967569999,2975.94284219999,2426,533.60967569999,549.942842199991
"113","P03",32,"P03 GemsCued","GemsCued",3193.2796545,3235.4054762,3115,78.2796545000019,120.405476200001
"114","P03",33,"P03 GemsCued","GemsCued",3263.6506509,3291.27873559999,3115,148.650650900003,176.27873559999
"115","P03",34,"P03 GemsCued","GemsCued",3302.1063365,3326.36423549999,3115,187.106336500001,211.36423549999
"116","P03",35,"P03 GemsCued","GemsCued",3344.2156366,3374.4965068,3115,229.215636599998,259.496506800002
"117","P03",36,"P03 GemsCued","GemsCued",3394.8669772,3437.1271973,3115,279.866977199999,322.127197299997
"118","P03",37,"P03 GemsCued","GemsCued",3445.31790149999,3469.24223009999,3115,330.317901499991,354.24223009999
"119","P03",38,"P03 GemsCued","GemsCued",3488.0779812,3511.7868489,3115,373.077981199996,396.786848899996
"120","P03",39,"P03 GemsCued","GemsCued",3532.9414155,3575.6999317,3115,417.941415499998,460.699931700001
"121","P04",0,"P04 Baseline","Baseline",356.470155700008,384.848853800009,242,114.470155700008,142.848853800009
"122","P04",1,"P04 Baseline","Baseline",397.228082200003,450.415302100009,242,155.228082200003,208.415302100009
"123","P04",2,"P04 Baseline","Baseline",464.4461706,504.253125600007,242,222.4461706,262.253125600007
"124","P04",3,"P04 Baseline","Baseline",524.623722400007,548.347765400002,242,282.623722400007,306.347765400002
"125","P04",4,"P04 Baseline","Baseline",558.991893500002,594.711363199996,242,316.991893500002,352.711363199996
"126","P04",5,"P04 Baseline","Baseline",608.291833299998,637.571546000006,242,366.291833299998,395.571546000006
"127","P04",6,"P04 Baseline","Baseline",650.301011999996,687.388591800001,242,408.301011999996,445.388591800001
"128","P04",7,"P04 Baseline","Baseline",696.748007600007,716.785002300006,242,454.748007600007,474.785002300006
"129","P04",8,"P04 GemsTablet","GemsTablet",969.157264000009,1004.0437835,849,120.157264000009,155.043783500005
"130","P04",9,"P04 GemsTablet","GemsTablet",1021.24341550001,1048.88791,849,172.243415500008,199.887910000005
"131","P04",10,"P04 GemsTablet","GemsTablet",1060.5330886,1071.894638,849,211.533088600001,222.894637999998
"132","P04",11,"P04 GemsTablet","GemsTablet",1079.5022853,1104.5943921,849,230.502285299997,255.5943921
"133","P04",12,"P04 GemsTablet","GemsTablet",1120.8608562,1143.31676290001,849,271.860856200001,294.316762900009
"134","P04",13,"P04 GemsTablet","GemsTablet",1153.527271,1200.2912644,849,304.527270999999,351.291264400003
"135","P04",14,"P04 GemsTablet","GemsTablet",1208.332813,1251.7600828,849,359.332813000001,402.7600828
"136","P04",15,"P04 GemsTablet","GemsTablet",1262.2372956,1289.39826440001,849,413.237295600004,440.398264400006
"137","P04",16,"P04 GemsBasic","GemsBasic",1529.9585694,1571.7841153,1376,153.958569399998,195.784115300004
"138","P04",17,"P04 GemsBasic","GemsBasic",1586.66581020001,1627.3572782,1376,210.665810200007,251.357278199997
"139","P04",18,"P04 GemsBasic","GemsBasic",1634.54766930001,1650.8808444,1376,258.547669300009,274.880844400002
"140","P04",19,"P04 GemsBasic","GemsBasic",1664.6615306,1701.6321394,1376,288.661530600002,325.632139399997
"141","P04",20,"P04 GemsBasic","GemsBasic",1717.24804180001,1754.5023581,1376,341.248041800005,378.502358099999
"142","P04",21,"P04 GemsBasic","GemsBasic",1767.74917710001,1798.8139694,1376,391.749177100006,422.813969399998
"143","P04",22,"P04 GemsBasic","GemsBasic",1819.8018769,1855.8549833,1376,443.801876900005,479.8549833
"144","P04",23,"P04 GemsBasic","GemsBasic",1866.9662787,1907.0910039,1376,490.966278699998,531.091003900001
"145","P04",24,"P04 GemsCued","GemsCued",2148.0342203,2190.277024,2016,132.034220300004,174.277023999995
"146","P04",25,"P04 GemsCued","GemsCued",2198.3851686,2240.110783,2016,182.385168599998,224.110782999996
"147","P04",26,"P04 GemsCued","GemsCued",2249.6870817,2309.8815049,2016,233.687081700002,293.881504899997
"148","P04",27,"P04 GemsCued","GemsCued",2321.89360910001,2377.9836855,2016,305.893609100007,361.983685500003
"149","P04",28,"P04 GemsCued","GemsCued",2388.2774779,2423.030422,2016,372.277477900003,407.030421999996
"150","P04",29,"P04 GemsCued","GemsCued",2430.3703043,2461.0344553,2016,414.370304299999,445.034455300003
"151","P04",30,"P04 GemsCued","GemsCued",2468.97596530001,2492.9000391,2016,452.975965300007,476.900039100001
